"","program_name","description","leisure_arts_dum","academics_dum","community_service_dum","professional_skill_dum"
"913","Little Village: I AM FIRST, a two day event #WinterKickback","<p>I AM FIRST will be a two day event, featuring a panel gathering emerging leaders to discuss how they build a sense of belonging in their industry — heavily focused on the first-generation American story in the US. Our cohort aims to gather 150+ fellow First-Generation students, early career professionals, seasoned entrepreneurs, creatives, and leaders. </p><p><br>Attendees will:</p><p>1. Understand the lived experiences and vast intersectionality of first-generation students and professionals across academic years, institutional types, and sectors.</p><p>2. Discuss how culture and innovation are inspiring more social responsibility initiatives around the world.</p><p>3. Connect with products produced by local youth artist and creative entrepreneurs and learn more about entrepreneurship through our pop-up on Day 1. </p><p>4. Learn the ins and outs of building a strong resume and online brand, heavy focus on LinkedIn on Day 2. BONUS: Attendees will have the opportunity to take a new profile picture for their social platforms. </p>",0,1,0,1
"914","Englewood New Years Game Night w/ Prizes! #WinterKickback","<p>This event will be a New Years themed game night where guests in the community can come and play different games in an attempt to win prizes! There will be food and drinks, good music and prizes to win! Although the targeted audience is teens and pre-teens, the event is open to all ages in the communities we serve. We just want participants to know that they can come and have a great time with us and also have the opportunity to win some prizes!</p>",1,0,1,0
"915","Jingle Jam Week #Make22Yours","<p>Jingle Jam week exposes teen to the program offerings at South Side Help Center with a Holiday Flair!</p>",0,1,1,0
"916","Wintrust Reads","<p>DePaul Athletics is excited to announce the return of the Wintrust Reads program! Students in 6th grade and under can participate in this free reading program to receive two complimentary tickets to a select DePaul Basketball game at Wintrust Arena. For more information, please email ruy2@depaul.edu.</p>",1,1,0,0
"917","Silent Dance Party","<p>Youth Silent Dance Party for (30) youth, please RSVP at 773-719-0542</p>",1,0,0,1
"918","Big Brothers Big Sisters of Metropolitan Chicago","<p ""="""">Big  Brothers Big Sisters of Metropolitan Chicago would like your help in  match more children on the Westside and  Southside of Chicago with caring, committed mentors! You have the  opportunity to help shape a child’s future for the better by inspiring  positive change and empowering them to achieve what they never dreamed  possible. And the best part is, it’s a lot of fun!  Help start a Little on their path to Big things at <a href=""http://bbbschgo.org/volunteer"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=http://bbbschgo.org/volunteer&source=gmail&ust=1643314541352000&usg=AOvVaw2Zw_59pcW4WgX5QKhTVUfQ"">bbbschgo.org/volunteer</a>.</p><p>To hear more about our program: Spend15 Minutes to Find Out How to Change a Childs Life…and Yours!</p> <a href=""https://www.eventbrite.com/e/only-15-minutes-to-change-a-childs-lifeand-yours-tickets-205164611877"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://www.eventbrite.com/e/only-15-minutes-to-change-a-childs-lifeand-yours-tickets-205164611877&source=gmail&ust=1643314541352000&usg=AOvVaw0eE6abVHxSZSZpuJQ5zmhH"">https://www.eventbrite.com/e/<wbr>only-15-minutes-to-change-a-<wbr>childs-lifeand-yours-tickets-<wbr>205164611877</a>",0,1,1,0
"919","Garden to Table","<p>The Garden to Table Program commits to growing as much food through our 
community garden and distributing fresh produce to our greater 
Bronzeville neighbors. NCO manages and maintains a community garden in 
partnership with Jackie Robinson Elementary School. This community 
garden is tended to by our volunteers and then weekly, we harvest to 
provide fresh produce to our neighbors through contactless distributions
 throughout the summer/fall season. </p><p>If you are interested in volunteering, please sign up here! </p><p><a href=""https://www.signupgenius.com/go/10C0C4AA9AC2DAAFDC07-ncos1"">https://www.signupgenius.com/go/10C0C4AA9AC2DAAFDC...</a><br></p>",1,0,1,0
"920","Camp Teen Volunteer 2022","<p>Camp Teen Volunteers inspire children to learn about, love, and protect animals and the environment while assisting with the day-to-day running of <a href=""https://www.lpzoo.org/youth-programs/zoo-camps/summer-conservation-camp"">Conservation Camp</a>, open to grades preK–4. Through observation, training, professional development, and guidance from counselor mentors, teens will gain valuable skills as they feed their own love for animals and work with young learners.</p><p>Camp Teen Volunteers assist counselors with the setup and takedown of activities, participate fully in activities and exploration, and create moments of fun for campers. Teens in this position can expect a dynamic day full of movement in a variety of weather conditions.</p><p>This program is looking for teens with a positive attitude, who enjoy working with elementary-aged children and are flexible to the ever-changing environment zoo camp has to offer.</p><p>Teens who become Camp Teen Volunteers will receive service hours and participate in weekly scheduled professional development. They will also be invited to Teen Bonding Nights and have an end-of-session Recognition Night to celebrate their work with their families.</p><p>The program does not run July 4.</p>",1,0,1,0
"921","Teen Opportunity Fair March 5","<p>Three opportunities for Chicago Teens, ages 13 to 19, to learn about programs and get information in the recreational, educational/vocational, and job readiness fields.  Includes opportunities to apply for summer jobs at the Chicago Park District!</p><ul><li>Apply for a summer job with the Chicago Park District – a variety of jobs are available</li><li>Learn about recreational programs offered in the parks</li><li>Obtain job readiness skills, including interviewing and resume writing</li><li>Interact with professionals from a wide range of fields and vocations</li><li>Gain exposure to educational programs and services </li></ul><p><br>IT'S FREE.   JOIN US!<br></p><p>Advanced registration is encouraged. </p>",0,1,0,1
"922","Teen Opportunity Fair March 12","<p>Three opportunities for Chicago Teens, ages 13 to 19, to learn about programs and get information in the recreational, educational/vocational, and job readiness fields.  Includes opportunities to apply for summer jobs at the Chicago Park District!</p><ul><li>Apply for a summer job with the Chicago Park District – a variety of jobs are available</li><li>Learn about recreational programs offered in the parks</li><li>Obtain job readiness skills, including interviewing and resume writing</li><li>Interact with professionals from a wide range of fields and vocations</li><li>Gain exposure to educational programs and services </li></ul><p><br>IT'S FREE.   JOIN US!<br></p><p>Advanced registration is encouraged. </p>",0,1,0,1
"923","Teen Opportunity Fair March 19","<p>Three opportunities for Chicago Teens, ages 13 to 19, to learn about programs and get information in the recreational, educational/vocational, and job readiness fields.  Includes opportunities to apply for summer jobs at the Chicago Park District!</p><ul><li>Apply for a summer job with the Chicago Park District – a variety of jobs are available</li><li>Learn about recreational programs offered in the parks</li><li>Obtain job readiness skills, including interviewing and resume writing</li><li>Interact with professionals from a wide range of fields and vocations</li><li>Gain exposure to educational programs and services </li></ul><p><br>IT'S FREE.   JOIN US!<br>Advanced registration is encouraged. </p>",0,1,0,1
"924","The Cypha Teen Open Mic","<p>Want to get on the mic and share something new? Are you looking for a fun, safe space to hear someone tell their story? Join us every Tuesday for the Cypha, an event celebrating young people, their voices, and all the ways they manifest. All forms of spoken word are welcome, as long as it comes from the heart. This is a censorship-free space but please be responsible for your words and do it for the love. The Cypha is open to Teens in 7th-12th grade. This event will be virtual and in person at South SIde Help Center.</p>",1,1,0,0
